Nama Penyakit,Deskripsi Penyakit,Penyebab Penyakit,Gejala Penyakit
Kolera,Kolera adalah diare yang disebabkan oleh infeksi bakteri Vibrio cholerae. Penyakit ini dapat terjadi pada orang dewasa atau anak-anak.,"kolera bisa masuk bersama makanan jika makanan tersebut tidak dibersihkan dan dimasak dengan baik sebelum dimakan. Beberapa jenis makanan yang dapat menjadi sarana penyebaran bakteri kolera adalah:Makanan laut seperti kerang dan ikanSayuran dan buah-buahanBiji-bijian, seperti beras dan gandumMeskipun di dalam makanan atau minuman yang dikonsumsi sehari-hari terdapat bakteri kolera, orang yang mengonsumsi makanan tersebut tidak berarti langsung terkena penyakit kolera.","yang dialami dan penyakit yang pernah diderita pasien. Dokter juga akan menanyakan kesehatan anggota keluarga dan kondisi lingkungan tempat pasien tinggal, serta makanan dan minuman yang dikonsumsi.Setelah itu, dokter akan melakukan pemeriksaan fisik dan mengambil sampel tinja untuk diteliti di laboratorium."
Koarktasio Aorta,Koarktasio aorta adalah penyempitan aorta jantung atau pembuluh darah utama dan paling besar. Penyempitan aorta bisa terjadi pada satu atau beberapa lokasi di sepanjang aorta.,"terjadinya koarktasio aorta belum dapat dipastikan. Kondisi ini diduga berkaitan dengan kombinasi faktor genetik dan lingkungan,  termasuk paparan bahan kimia atau obat-obatan selama kehamilan.","berikut:Nyeri dada beratLemas dan pingsanSesak napas dan sulit bernapasPucat Wanita yang menderita koarktasio aorta dan berencana untuk hamil juga perlu mendiskusikan rencana kehamilannya dengan dokter untuk mencegah terjadinya komplikasi.Diagnosis Koarktasio AortaDokter akan melakukan tanya jawab seputar keluhan dan riwayat kesehatan pasien, baik kepada keluarga maupun langsung kepada pasien. Setelah itu, dokter akan melakukan pemeriksaan dada dan jantung."
Kleptomania,"Kleptomania adalah gangguan yang membuat penderitanya sulit menahan diri dari keinginan untuk mencuri. Penderita kleptomania kerap mencuri di tempat-tempat umum, tetapi ada juga yang mengutil dari rumah teman-temannya.Kleptomania termasuk ke dalam kelompok gangguan kendali impulsif, yaitu gangguan yang menyebabkan penderitanya sulit mengendalikan emosi dan perilaku.","kleptomania belum diketahui secara pasti. Oleh sebab itu, belum diketahui juga bagaimana cara untuk mencegah gangguan perilaku ini.","sudah membaik tetapi timbul keinginan untuk mencuri lagi, segera temui dokter.Komplikasi KleptomaniaJika dibiarkan tanpa penanganan, kleptomania bisa menimbulkan banyak masalah pada kehidupan penderitanya, baik dalam lingkup keluarga maupun pekerjaan.Selain itu, penderita kleptomania dapat merasa bersalah, malu, bahkan membenci dirinya sendiri. Perasaan tersebut muncul dari kesadaran bahwa mencuri adalah tindakan yang salah, tetapi dia tidak bisa menahan dorongan untuk mencuri.Kondisi lain yang diduga dapat timbul akibat kleptomania meliputi:DepresiKecanduan alkoholPenyalahgunaan narkobaGangguan kecemasanGangguan kepribadianGangguan bipolarGangguan impulsif lainnya, seperti kecanduan berjudiGangguan makanPercobaan bunuh diriPencegahan KleptomaniaSeperti yang telah dijelaskan sebelumnya,"
Klaudikasio Intermiten,"Klaudikasio intermiten adalah nyeri yang terjadi saat beraktivitas akibat sirkulasi darah yang tidak lancar. Meski umumnya terjadi di kaki, paha, pinggul, atau bokong, nyeri juga dapat menyerang lengan dan tangan.","lain dari klaudikasio intermiten meliputi:Pembesaran atau penonjolan pembuluh darah (aneurisma) di perut atau kakiVaskulitis, yaitu kondisi yang dapat menyebabkan peradangan pada pembuluh darah, seperti giant cell arteritis, arteritis Takayasu, penyakit Bechet, dan polyarteritis nodosaStenosis spinal atau penyempitan pada ruas tulang belakang, yang dapat menekan saraf maupun pembuluh darah di tulang belakangFaktor risiko klaudikasio intermitenAda sejumlah faktor yang dapat meningkatkan risiko seseorang mengalami klaudikasio intermiten, yaitu:Memiliki anggota keluarga yang menderita aterosklerosis, PAD, atau diabetesBerusia lebih dari 55 tahun pada pria, dan 60 tahun pada wanitaMerokokMenderita tekanan darah tinggi (hipertensi)Menderita kolesterol tinggiMemiliki berat badan berlebih atau obesitasJarang berolahraga atau melakukan aktivitas fisikMenderita diabetes","yang dialami dan mengatasi penyebabnya. Beberapa metode pengobatannya adalah:Obat-obatanObat-obatan yang diresepkan oleh dokter pada pasien klaudikasio intermiten antara lain:Obat antiplatelet, seperti aspirin, clopidogrel, atau ticlopidine, untuk mencegah penggumpalan darah yang bisa menyumbat pembuluh darahCilostazol, untuk meredakan nyeri dan memperlancar sirkulasi darahObat statin, seperti atorvastatin, untuk menurunkan kadar kolesterolObat antihipertensi, seperti ramipril, untuk mengatasi tekanan darah tinggi dan mencegah komplikasi, seperti stroke atau serangan jantungOperasiPada klaudikasio intermiten yang tergolong serius dan tidak membaik dengan obat-obatan, dokter dapat melakukan operasi, seperti:AngioplastiAngioplasti dilakukan dengan memasukkan dan menggembungkan balon kecil di dalam pembuluh darah yang menyempit, agar sirkulasi darah menjadi lancar kembali."
Kista Vagina,"Kista vagina adalah kantung berisi cairan, minyak, atau lendir yang tumbuh pada vagina. Kista tersebut biasanya berukuran kecil dan terkadang tidak bergejala.",keluhan dan mendeteksi sedini mungkin bila ada kondisi yang lebih serius.Jangan tunda ke dokter jika tumbuh benjolan di vagina yang disertai dengan gejala-,"yang terjadiPenyakit yang pernah atau sedang dideritaProsedur medis yang pernah dijalani pada vaginaAktivitas seksual Selanjutnya, dokter akan melakukan pemeriksaan fisik, dengan melihat dan meraba benjolan pada area vagina. Jika diperlukan, dokter dapat menjalankan pemeriksaan lanjutan di bawah ini untuk menegakkan diagnosis:Tes cairan vagina, untuk mengetahui kemungkinan terjadinya infeksi vagina atau infeksi menular seksual USG atau MRI, untuk melihat kondisi kista vagina lebih jelasBiopsi, untuk memastikan bahwa benjolan yang tumbuh bukan kankerTes darah, untuk mendeteksi infeksi menular seksual secara lebih akuratPengobatan Kista VaginaKista vagina umumnya tidak memerlukan penanganan medis, terutama jika tidak menyebabkan muncunya keluhan."
Kista Sebasea,"Kista sebasea adalah benjolan berisi campuran minyak, keratin, dan sel kulit mati yang tumbuh secara perlahan di bawah kulit. Kista sebasea bukanlah kondisi yang berbahaya.","Kista Sebasea Kelenjar sebasea merupakan kelenjar di bawah kulit yang menghasilkan sebum, yaitu minyak alami yang diproduksi kulit untuk menjaga kelembapan kulit. Sebum dari kelenjar sebasea akan naik ke permukaan kulit melalui saluran yang bermuara di pori-pori kulit.","yang muncul, penyakit yang pernah atau sedang diderita, dan prosedur medis yang pernah dijalani. Setelah itu, dokter akan melihat benjolan yang dikeluhkan."
Kista Pilonidal,"Kista pilonidal adalah benjolan kulit yang muncul di dekat tulang ekor, tepatnya di bagian atas belahan bokong. Benjolan ini berisi serpihan folikel rambut dan kulit.Kista pilonidal atau pilonidal cyst merupakan penyakit yang jarang terjadi.","pasti munculnya kista pilonidal belum diketahui. Namun, pada sebagian besar kasus, munculnya kista didahului oleh rambut yang tumbuh ke dalam atau ingrown hair.Selain ingrown hair, kista pilonidal juga diduga terjadi akibat cedera berulang pada area selangkangan dan area tulang ekor, misalnya karena sering berkendara di jalan rusak.Kista pilonidal bisa terjadi pada siapa saja.",kista pilonidal yang terinfeksi. Penanganan oleh dokter diperlukan untuk mencegah terjadinya komplikasi.Infeksi pada kista pilonidal bisa terjadi berulang.
Kista Payudara,Breast cyst atau kista payudara adalah benjolan berbentuk bulat atau lonjong yang berisi cairan dan tumbuh di jaringan payudara. Benjolan ini tidak mengandung sel kanker atau bersifat jinak.Kista payudara dapat berjumlah lebih dari satu dan tumbuh pada salah satu atau kedua payudara.,"pastinya, cara untuk mencegah kista payudara juga belum diketahui. Selain menjalani SADANIS seperti yang telah dijelaskan sebelumnya, setiap wanita perlu melakukan SADARI (pemeriksaan payudara sendiri) untuk mendeteksi benjolan di payudara sedini mungkin.","penyakit serius, seperti kanker payudara. Kista payudara juga dapat terinfeksi oleh bakteri dan berubah menjadi abses payudara.Pencegahan Kista PayudaraKarena belum diketahui"
Pengertian Kista Ovarium,"Kista ovarium adalah kantong berisi cairan yang tumbuh di indung telur (ovarium) wanita. Kista ini biasanya muncul selama masa subur atau selama wanita mengalami menstruasi.Wanita memiliki dua indung telur (ovarium), satu di bagian kanan dan satu lagi di sebelah kiri rahim.","Terbentuknya kista ovarium tergantung pada berbagai faktor, antara lain terkait dengan siklus menstruasi atau pertumbuhan sel yang tidak normal. Meskipun kista ovarium biasanya bersifat jinak, tetapi pada beberapa kasus, kista ovarium bisa berkembang menjadi ganas.Sebagian besar kista ovarium berukuran kecil dan tidak menimbulkan gejala.","Kista OvariumTerbentuknya kista ovarium tergantung pada berbagai faktor, antara lain terkait dengan siklus menstruasi atau pertumbuhan sel yang tidak normal. Meskipun kista ovarium biasanya bersifat jinak, tetapi pada beberapa kasus, kista ovarium bisa berkembang menjadi ganas.Sebagian besar kista ovarium berukuran kecil dan tidak menimbulkan gejala."
Kista Nabothi,Kista nabothi adalah benjolan kecil berisi lendir yang terbentuk di permukaan serviks atau leher rahim. Kista ini terbentuk akibat penyumbatan pada kelenjar penghasil lendir di dalam serviks.Kista nabothi merupakan salah satu jenis kista serviks yang sering terjadi dan dianggap sebagai benjolan biasa.,"Kista NabothiDi dalam serviks, terdapat kelenjar yang memproduksi lendir. Lendir ini berfungsi melindungi leher rahim dan membantu pergerakan sperma.","tersebut di atas.Selain itu, wanita yang aktif berhubungan intim juga sebaiknya menjalani pemeriksaan organ reproduksi secara rutin ke dokter, setidaknya 1 kali dalam 1 tahun.Diagnosis Kista NabothiPada awal diagnosis kista nabothi, dokter akan melakukan tanya jawab mengenai keluhan yang dialami pasien. Selanjutnya, dokter akan memeriksa serviks dengan memasukkan spekulum ke dalam vagina.Biasanya, dokter dapat menegakkan diagnosis kista nabothi melalui pemeriksaan serviks."
Kista Ginjal,"Kista ginjal adalah gangguan pada ginjal akibat munculnya kantung berisi cairan (kista) di dalam jaringan ginjal. Kista ginjal dapat muncul pada salah satu atau kedua ginjal.Penyebab terbentuknya kista pada ginjal belum diketahui dengan pasti, tetapi kondisi ini diduga dipengaruhi oleh faktor usia.","munculnya gejala. Jika disebabkan oleh kista ginjal, Anda perlu kontrol rutin ke dokter agar diketahui apakah ukuran kista mengecil, tetap, atau berkembang.Diagnosis Kista GinjalKista ginjal sering kali tidak menimbulkan gejala.",di atas. Hal ini bertujuan untuk mencari tahu
Kista Gigi,"Kista gigi adalah kantong kecil berisi cairan yang tumbuh di sekitar gigi atau gusi. Biasanya, kista gigi tidak menimbulkan gejala, kecuali jika sudah terinfeksi.",keluhan tersebut dan memberikan penanganan yang tepat.Segera cari pertolongan medis jika muncul gejala-,"impaksi gigi, seperti nyeri dan gusi bengkak, di area gigi geraham paling belakang."
Kista Gartner,Kista Gartner adalah kantung berisi cairan yang tumbuh di dinding vagina. Kista ini pada umumnya memiliki ukuran yang kecil dan tidak menimbulkan gejala.,"keluhan:Tes cairan vagina, untuk mengetahui jika keluhan disebabkan oleh infeksi menular seksualUSG transvaginal atau MRI panggul, untuk melihat struktur benjolan dengan lebih detailUSG atau MRI perut, untuk memastikan tidak ada kelainan lain pada organ reproduksi dan saluran kemihBiopsi, untuk memastikan jenis kista dan menyingkirkan kemungkinan kanker vagina, terutama bila benjolan tampak padat Pengobatan Kista GartnerJika kista Gartner ditemukan dengan tidak sengaja, pasien mungkin hanya perlu mengawasi pembesaran kista dan segera memeriksakan diri jika ada keluhan. Jika ada keluhan ringan, seperti gatal, pasien bisa melakukan sitz bath di rumah 2–3 kali sehari.","yang dirasakan dan durasinyaPenyakit yang pernah atau sedang dideritaSetelah itu, dokter akan melakukan pemeriksaan fisik menyeluruh pada area vagina. Dokter mungkin akan melihat dan memeriksa benjolan yang dicurigai sebagai kista."
Kista Ganglion,Kista ganglion adalah benjolan berisi cairan yang tumbuh di area sendi atau jaringan yang menghubungkan otot dengan tulang (tendon). Benjolan yang berisi cairan ini paling sering tumbuh di pergelangan tangan atau kaki.,"kista ganglion masih belum diketahui sehingga sulit untuk dicegah. Meski demikian, pemeriksaan dan penanganan lebih dini dapat dilakukan untuk mencegah",kista ganglion makin parah.
Kista Epididimis,"Kista epididimis adalah benjolan kecil berisi cairan yang terbentuk di saluran epididimis. Kista epididimis umumnya tidak berbahaya dan tidak menyebabkan kemandulan, tetapi bisa membesar dan menimbulkan nyeri.Epididimis adalah saluran berbentuk tabung kecil yang terletak di bagian atas testis.","dan faktor yang dapat meningkatkan risiko seseorang mengalami penyakit ini. Namun, ada dugaan bahwa orang yang mengalami peradangan atau infeksi pada saluran epididimis akan lebih rentan mengalami kondisi ini.","yang dialami pasien. Selanjutnya, dokter akan melakukan pemeriksaan fisik, dengan melihat dan menekan area testis yang memiliki benjolan."
Kista Epidermoid,"Kista epidermoid adalah benjolan di bawah kulit yang tidak bersifat kanker. Kista ini dapat muncul di bagian kulit mana pun, tetapi lebih sering muncul di wajah, leher, kepala, punggung, dan area kelamin.Secara fisik, kista epidermoid berwarna kuning kecokelatan dan berisi cairan kental yang berbau.","Kista EpidermoidKista epidermoid tumbuh ketika sel-sel kulit mati terjebak di dalam kulit. Kondisi ini dapat dipicu oleh cedera di kulit, infeksi HPV, jerawat, atau paparan sinar matahari secara berlebihan.Kista epidermoid dapat menyerang siapa saja, tetapi lebih berisiko dialami oleh orang yang sudah melewati masa puber dan memiliki kulit berjerawat.","kista epidermoid adalah munculnya benjolan di bawah kulit pada salah satu bagian tubuh, misalnya pada pergelangan tangan. Benjolan kista epidermoid memiliki beberapa karakteristik, yaitu:Berukuran sebesar kelereng hingga sebesar bola pingpongBiasanya muncul di daerah wajah, tubuh bagian atas, atau leherTampak komedo hitam pada puncak benjolanArea di sekitar kista menjadi kemerahan dan bengkak bila mengalami peradangan atau infeksiKeluar cairan kental berwarna kuning yang berbau tidak sedap bila kista pecahKapan harus ke dokterWalaupun kista epidermoid bukan kanker dan jarang menyebabkan masalah serius, semua benjolan yang muncul di tubuh perlu diperiksakan ke dokter.Anda juga perlu berkonsultasi dengan dokter bila kista epidermoid yang Anda miliki:Mengganggu penampilanTumbuh di jari tangan atau jari kakiMembesar dengan cepatPecah, terasa nyeri, atau terinfeksiDiagnosis Kista EpidermoidDokter dapat menentukan kista epidermoid dengan melihat karakteristik benjolan."
Kista Dermoid,"Kista dermoid adalah tumor jinak berisi jaringan kulit, gigi, dan rambut. Kista ini terbentuk akibat kelainan perkembangan janin sehingga sering kali dapat langsung terlihat ketika bayi dilahirkan.","Kista DermoidKista dermoid terbentuk akibat susunan kulit yang tidak tumbuh normal pada masa perkembangan janin. Struktur kulit yang berisi akar rambut, kelenjar keringat, dan kelenjar minyak, seharusnya berada di lapisan luar kulit.","berupa nyeri panggul, terutama saat menstruasi.Sedangkan jika kista dermoid tumbuh di sekitar tulang belakang, penderita dapat merasakan kesemutan di tungkai, tungkai menjadi lemah hingga sulit berjalan, dan tidak mampu menahan buang air kecil.Kapan harus ke dokterPemeriksaan ke dokter perlu dilakukan jika Anda menemukan benjolan abnormal di tubuh. Melalui serangkaian pemeriksaan, dokter dapat menentukan penyebabnya dan memastikan apakah benjolan tersebut berbahaya atau tidak.Segera periksakan diri ke dokter bila benjolan yang muncul menimbulkan nyeri, mengalami peradangan, membesar, dan berubah warna."
Kista Bartholin,Kista Bartholin adalah benjolan berisi cairan akibat tersumbatnya kelenjar Bartholin. Kista Bartholin umumnya berukuran kecil dan tidak menimbulkan rasa sakit.,"benjolan dan mendeteksi sedini mungkin jika ada kondisi yang lebih serius.Segera ke dokter jika benjolan timbul saat Anda berusia lebih dari 40 tahun. Meski cukup langka, kondisi ini dapat menandakan penyakit atau kondisi lain yang lebih serius, seperti kanker.Perlu diketahui bahwa kista Bartholin dapat kambuh.",atau mengalami infeksi dan berkembang menjadi abses. Berikut adalah beberapa metode pengobatan yang dapat dilakukan:1.
Kista Baker,Kista Baker atau kista popliteal adalah benjolan berisi cairan (kista) di bagian belakang lutut. Kondisi ini dapat menyebabkan bagian belakang lutut bengkak dan terasa nyeri saat lutut digerakkan sehingga gerakan penderita menjadi terbatas.,"munculnya kista Baker adalah cedera pada lutut. Oleh sebab itu, cara terbaik untuk mencegah kista Baker adalah menghindari terjadinya cedera lutut, yaitu dengan:  Melakukan pemanasan terlebih dahulu sebelum berolahraga Menggunakan sepatu yang tepat saat olahraga Berkonsultasi ke dokter jika lutut terasa nyeri setelah olahraga Mengistirahatkan lutut jika mengalami cedera","dan keluhan, riwayat kesehatan, serta riwayat cedera pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik, terutama di bagian lutut."
Kista Ateroma,Kista ateroma adalah kista lunak yang tumbuh di bawah kulit. Kista ini bukan tergolong tumor ganas atau kanker.,"munculnya benjolan, karena banyak kanker yang","kanker, pasien akan diminta untuk menjalani biopsi.Pengobatan Kista AteromaPengobatan kista ateroma adalah dengan operasi kecil, yang didahului pemberian obat bius lokal. Tujuan operasi adalah untuk mengeluarkan seluruh isi dan selaput kista dari lapisan kulit.Ada tiga jenis operasi pengangkatan kista yang dapat dilakukan oleh dokter, yaitu:Minimal excision, yang dilakukan dengan membuat sayatan kecil di kistaLaser aided excision, yang dilakukan dengan membuat sayatan dan lubang kecil di kista menggunakan sinar laserConventional wide excision, yang dilakukan dengan membuat sayatan yang lebih besarSetelah menjalani operasi, pasien akan diberikan antibiotik dalam bentuk salep atau minum untuk mencegah terjadinya infeksi."
Kista,"Kista adalah benjolan di bawah kulit yang berisi cairan, udara, nanah, atau zat padat seperti rambut. Benjolan ini dapat tumbuh di bagian tubuh mana pun dan umumnya tidak bersifat kanker atau tumor ganas.Meski umumnya tumbuh di bawah kulit, kista juga dapat tumbuh di organ dalam tubuh, seperti indung telur (ovarium).",kista yang terbagi berdasarkan jenisnya:Kista BakerKista Baker atau kista popliteal adalah benjolan berisi cairan yang terbentuk di belakang lutut akibat radang sendi atau cedera lutut. Kista ini dapat menimbulkan pembengkakan dan nyeri saat menekuk atau meluruskan kaki.,"dan keluhan yang dialami pasien, serta riwayat kesehatan pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik pada area benjolan yang terlihat.Dokter dapat mendiagnosis kista melalui pemeriksaan fisik pada benjolan."
Kifosis,"Kifosis adalah kelainan pada lengkungan tulang belakang yang membuat punggung bagian atas terlihat membungkuk atau bengkok secara tidak normal. Kondisi ini dapat terjadi pada siapa saja, tetapi lebih sering dialami oleh wanita lanjut usia.Setiap orang memiliki tulang belakang yang melengkung pada kisaran 25–45 derajat.","KifosisBerdasarkan penyebabnya, kifosis dibedakan menjadi tiga jenis, yaitu:Postural kyphosisPostural kyphosis adalah jenis kifosis yang paling umum terjadi dan biasanya terlihat pada masa remaja. Penelitian menunjukkan bahwa kifosis jenis ini lebih sering dialami oleh remaja perempuan daripada remaja laki-laki.Postural kyphosis biasanya disebabkan oleh postur tubuh yang salah, misalnya karena bersandar di kursi dengan posisi yang terlalu membungkuk, atau akibat membawa tas sekolah yang terlalu berat.Kifosis jenis ini ditandai dengan kondisi tulang belakang yang melengkung sampai 50 derajat atau lebih.","dan riwayat kesehatan pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik, antara lain dengan:Mengukur tinggi badan pasienMeminta pasien membungkuk, untuk melihat kelengkungan tulang belakang dari sampingMeminta pasien berbaring, untuk melihat apakah tulang belakang menjadi lurus atau tetap bengkokBila tulang belakang pasien lurus saat berbaring, pasien diduga mengalami postural kyphosis."
Ketuban Pecah Dini,"Ketuban pecah dini adalah kondisi ketika kantung ketuban pecah sebelum persalinan dimulai. Kondisi ini bisa terjadi ketika perkembangan janin belum sempurna, yaitu sebelum minggu ke-37 masa kehamilan.","pastinya belum diketahui. Akan tetapi, karena adanya kaitan antara merokok saat hamil dan ketuban pecah dini, ibu hamil dianjurkan untuk tidak merokok.Ibu hamil juga perlu memeriksakan kehamilannya secara rutin ke dokter.","dan keluhan, serta riwayat kesehatan pasien. Selanjutnya, dokter akan melakukan pemeriksaan fisik, terutama pada bagian dalam leher rahim untuk memastikan pecahnya ketuban.Bila diperlukan, dokter juga akan melakukan pemeriksaan tambahan berupa:Tes pH, untuk memeriksa tingkat keasaman cairan vagina, yang akan lebih tinggi jika mengalami pecah ketuban (kondisi basa)USG kehamilan, untuk memeriksa kondisi rahim dan janin, serta melihat jumlah air ketuban yang masih tersisaPengobatan Ketuban Pecah DiniSetelah ketuban pecah, dokter akan memeriksa apakah janin sudah siap dilahirkan."
Pengertian Ketombe,Ketombe adalah serpihan kulit kepala yang berwarna putih atau kuning. Serpihan ini mudah terlihat di kepala dan sering berjatuhan ke bahu.,"timbulnya ketombe belum diketahui secara pasti. Namun, ada beberapa hal yang kerap memicu timbulnya ketombe, seperti tidak keramas secara rutin, mengalami alergi akibat penggunaan produk perawatan rambut maupun salon, atau menderita gangguan kulit tertentu, seperti tinea capitis dan eksim atopik.Ketombe umumnya ditandai dengan serpihan berwarna putih atau kekuningan yang dapat berjatuhan ke bahu.","Gejala KetombePenyebab timbulnya ketombe belum diketahui secara pasti. Namun, ada beberapa hal yang kerap memicu timbulnya ketombe, seperti tidak keramas secara rutin, mengalami alergi akibat penggunaan produk perawatan rambut maupun salon, atau menderita gangguan kulit tertentu, seperti tinea capitis dan eksim atopik.Ketombe umumnya ditandai dengan serpihan berwarna putih atau kekuningan yang dapat berjatuhan ke bahu."
Ketoasidosis Diabetik,Ketoasidosis diabetik adalah komplikasi diabetes melitus yang ditandai dengan tingginya kadar keton di dalam tubuh. Salah satu tanda khas dari kondisi ini adalah munculnya bau mulut yang beraroma buah.,"ketoasidosis diabetik, misalnya memberikan antibiotik jika terjadi infeksiKomplikasi Ketoasidosis DiabetikKetoasidosis yang terlambat diobati dapat berakibat fatal. Beberapa komplikasi yang dapat terjadi akibat ketoasidosis diabetik yaitu:Gangguan pernapasanPengikisan lapisan lambung (gastritis erosif)Pelebaran lambung akut (acute gastric dilation)Serangan jantung dan henti jantungDeep vein thrombosis (DVT)Infeksi dan sepsisGagal ginjalStrokeSelain komplikasi di atas, komplikasi lain juga dapat terjadi akibat pengobatan ketoasidosis diabetik yang berdampak pada cairan, insulin, dan elektrolit, seperti natrium, kalium, dan klorida.Beberapa komplikasi yang mungkin terjadi akibat pengobatan ketoasidosis diabetik adalah:Rendahnya kadar gula darah (hipoglikemia) akibat pengobatan dengan insulinRendahnya kadar kalium (hipokalemia) akibat pengobatan dengan cairan dan insulinPembengkakan otak (edema otak) akibat penurunan kadar gula darah yang terlalu cepatKerusakan pada ginjal atau organ tubuh lain akibat kehilangan cairan tubuh secara berlebihanPencegahan Ketoasidosis DiabetikPenderita diabetes perlu mematuhi anjuran pengobatan dari dokter sebagai upaya untuk menghindari terjadinya ketoadosis diabetik.","dan riwayat kesehatan pasien kepada orang yang membawa pasien. Sambil melakukan pemeriksaan menyeluruh untuk memeriksa kondisi umum dan tanda gawat darurat lainnya pada pasien, dokter akan memberikan pertolongan pertama.Selanjutnya, dokter akan melakukan pemeriksaan penunjang untuk memastikan diagnosis, seperti:Tes darah, untuk mengetahui kadar gula darah, kadar keton darah, tingkat keasaman darah (analisis gas darah), dan kadar elektrolit darahTes urine, untuk melihat kadar keton urine dan kemungkinan infeksi saluran kemihRontgen dada, untuk melihat kemungkinan infeksi, seperti pneumoniaTes elektrokardiogram (EKG), untuk memeriksa denyut jantung pasien dan melihat apakah kondisi pasien disebabkan oleh serangan jantungPengobatan Ketoasidosis DiabetikTujuan pengobatan ketoasidosis diabetik adalah untuk menstabilkan kondisi pasien, mengatasi kondisi asidosis, dan memastikan agar kondisi tersebut tidak terulang kembali."
Ketoasidosis Alkoholik,"Ketoasidosis alkoholik adalah penumpukan keton dalam darah akibat konsumsi minuman beralkohol secara berlebihan. Jika tidak segera ditangani, kadar keton yang tinggi di dalam tubuh bisa mengancam nyawa.Ketoasidosis alkoholik merupakan salah satu bentuk dari asidosis metabolik yang terjadi akibat kecanduan alkohol.",Ketoasidosis AlkoholikKetoasidosis alkoholik terjadi akibat konsumsi minuman beralkohol secara berlebihan dalam jangka panjang. Kondisi ini dapat menyebabkan orang tersebut kekurangan asupan makanan dan mengalami muntah-muntah.,"putus alkohol (alcohol withdrawal).Penderita ketoasidosis alkoholik harus mendapatkan perawatan di rumah sakit. Selama perawatan, dokter akan mengamati kondisi vital pasien, seperti tekanan darah, detak jantung, dan pernapasan.Sejumlah tindakan medis yang diberikan dokter untuk mengatasi ketoasidosis alkoholik adalah:Pemberian cairan infusPemberian asupan nutrisi dan vitamin berupa vitamin B1, kalium, fosfor, dan magnesium, untuk mengatasi malnutrisiPemberian obat-obatan kepada pasien yang juga menderita penyakit lain, seperti pankreatitisPemberian obat tambahan lain, seperti benzodiazepine, pada pasien yang mengalami sindrom putus alkoholJika diperlukan, dokter akan menempatkan pasien di ruang perawatan intensif guna penanganan lebih lanjut."
Kesetrum,"Kesetrum adalah kondisi ketika tubuh tersengat aliran listrik. Tergantung pada besarnya voltase (V) aliran listrik tersebut, kesetrum bisa menyebabkan luka ringan hingga kematian mendadak.","kesetrum, perkiraan besarnya voltase, dan lama paparan dengan sumber listrik.Jika pasien didiagnosis mengalami kesetrum ringan, dokter akan merawat luka dan memperbolehkan pasien pulang.Untuk memastikan diagnosis, dokter akan melakukan sejumlah pemeriksaan lanjutan, meliputi:Pemeriksaan rekam jantung (EKG), untuk melihat aktivitas listrik jantung dan mendeteksi seberapa parah kerusakan jantungTes enzim jantung, seperti creatine kinase-myoglobin binding (CKMB) dan troponin, untuk melihat kondisi otot jantungTes darah, seperti hitung darah lengkap, elektrolit, keratinin, mioglobin, untuk melihat fungsi ginjal dan kerusakan ototTes urine, untuk memeriksa kadar mioglobin dalam urineUSG, untuk melihat kondisi organ dalam yang mengalami kerusakanFoto Rontgen atau CT scan, untuk melihat patah tulang yang bisa terjadiPengobatan KesetrumPengobatan pada pasien kesetrum akan disesuaikan dengan tingkat keparahannya. Pasien yang mengalami luka bakar dapat diberikan penanganan sesuai derajat luka yang dialaminya.Sebagai contoh, dokter dapat melakukan perawatan luka dan memberikan salep antibiotik pada luka bakar yang tergolong ringan, lalu membalut luka tersebut.Jika luka bakar cukup luas, dokter akan melakukan operasi untuk membersihkan luka dan mengangkat jaringan yang sudah mati.","kesetrum yang parah, misalnya terkena arus listrik 1.000 V atau lebih, mengalami sesak napas atau gangguan irama jantung, sedang hamil, atau apabila terdapat kelainan pada hasil rekam jantung, dokter akan menstabilkan kondisi pasien terlebih dahulu.Selanjutnya, dokter akan memberikan infus, memasang kateter urine, dan oksigen pada pasien tersebut. Dokter juga bisa melakukan terapi kejut jantung (defibrilasi) jika terdeteksi gangguan irama jantung.Bila kondisi pasien telah stabil, dokter akan bertanya terkait"
